Wall time,Step,Value
,1,0.704
,51,1.0429
,101,0.9422
,151,0.8903
,201,0.887
,251,0.8947
,301,0.873
,351,0.8719
,401,0.8744
,451,0.8771
,501,0.8839
,551,0.8882
,601,0.8903
,651,0.8833
,701,0.8759
,751,0.8714
,801,0.8749
,851,0.8754
,901,0.8755
,951,0.8731
,1001,0.8706
,1051,0.8719
,1101,0.8735
,1151,0.8696
,1201,0.869
,1251,0.866
,1301,0.8691
,1351,0.8696
,1401,0.8675
,1451,0.8688
,1501,0.8683
,1551,0.8703
,1601,0.8701
,1651,0.8682
,1701,0.8664
,1751,0.8645
,1801,0.8677
,1851,0.8642
,1901,0.8633
,1951,0.8611
,2001,0.8576
,2051,0.8544
,2101,0.857
,2151,0.8603
,2201,0.8636
,2251,0.8635
,2301,0.8646
,2351,0.8644
,2401,0.8611
,2451,0.8563
,2501,0.8565
,2551,0.8587
,2601,0.8584
,2651,0.8593
,2701,0.8568
,2751,0.8577
,2801,0.8567
,2851,0.8547
,2901,0.8538
,2951,0.8553
,3001,0.8579
,3051,0.8577
,3101,0.8576
,3151,0.8557
,3201,0.8549
,3251,0.8572
,3301,0.8579
,3351,0.8594
,3401,0.8576
,3451,0.8582
,3501,0.8599
,3551,0.8598
,3601,0.8612
,3651,0.8639
,3701,0.8631
,3751,0.8627
,3801,0.8639
,3851,0.8623
,3901,0.8633
,3951,0.8641
,4001,0.8648
,4051,0.8647
,4101,0.8651
,4151,0.864
,4201,0.8644
,4251,0.867
,4301,0.8666
,4351,0.8674
,4401,0.8673
,4451,0.867
,4501,0.8674
,4551,0.8685
,4601,0.8676
,4651,0.8675
,4701,0.8668
,4751,0.8673
,4801,0.8667
,4851,0.8651
,4901,0.8648
,4911,0.3028
,4961,0.9249
,5011,0.8743
,5061,0.9023
,5111,0.8799
,5161,0.8824
,5211,0.8976
,5261,0.8804
,5311,0.8609
,5361,0.8534
,5411,0.8547
,5461,0.8473
,5511,0.8398
,5561,0.8407
,5611,0.8348
,5661,0.833
,5711,0.8433
