Step,Value
1,0.4419
51,0.9486
101,0.8332
151,0.7964
201,0.7927
251,0.8075
301,0.7949
351,0.8181
401,0.8164
451,0.8164
501,0.8101
551,0.8141
601,0.8306
651,0.8235
701,0.8263
751,0.8226
801,0.8238
851,0.824
901,0.8236
951,0.8227
1001,0.8306
1051,0.8245
1101,0.8196
1151,0.8195
1201,0.8165
1251,0.8144
1301,0.812
1351,0.806
1401,0.8004
1451,0.7978
1501,0.7911
1551,0.7833
1601,0.7784
1651,0.7756
1701,0.7725
1751,0.7645
1801,0.7599
1851,0.7587
1901,0.7548
1951,0.7517
2001,0.7481
2051,0.7441
2101,0.7393
2151,0.7347
2201,0.7343
2251,0.7347
2301,0.7342
2351,0.7294
2401,0.7236
2451,0.7233
2501,0.72
2551,0.7173
2601,0.7158
2651,0.7117
2701,0.7082
2751,0.7061
2801,0.702
2851,0.7001
2901,0.6968
2951,0.6933
3001,0.6892
3051,0.6865
3101,0.6835
3151,0.6812
3201,0.6796
3251,0.6765
3301,0.6756
3351,0.6747
3401,0.6738
3451,0.6727
3501,0.6709
3551,0.6686
3601,0.666
3651,0.6654
3701,0.6654
3751,0.6636
3801,0.6605
3851,0.6585
3901,0.6565
3951,0.6556
4001,0.6548
4051,0.6519
4101,0.6504
4151,0.6482
4201,0.6473
4251,0.6452
4301,0.6445
4351,0.6432
4401,0.6413
4451,0.6405
4501,0.6385
4551,0.6371
4601,0.6354
4651,0.6327
4701,0.6315
4751,0.6295
4801,0.6278
4851,0.627
4901,0.625
4911,0.217
4961,0.4348
5011,0.4865
5061,0.4758
5111,0.4851
5161,0.4868
5211,0.5089
5261,0.5113
5311,0.509
5361,0.5063
5411,0.5151
5461,0.5137
5511,0.512
5561,0.5145
5611,0.5076
5661,0.5053
5711,0.5049
5761,0.5046
5811,0.501
5861,0.4958
5911,0.4957
5961,0.495
6011,0.4918
6061,0.4932
6111,0.4913
6161,0.4904
6211,0.4879
6261,0.4864
6311,0.4834
6361,0.4885
6411,0.4889
6461,0.4872
6511,0.485
6561,0.4851
6611,0.4826
6661,0.482
6711,0.4828
6761,0.4822
6811,0.486
6861,0.486
6911,0.4854
6961,0.4855
7011,0.4855
7061,0.4857
7111,0.4852
7161,0.485
7211,0.4849
7261,0.4875
7311,0.487
7361,0.4851
7411,0.4845
7461,0.4847
7511,0.4847
7561,0.4846
7611,0.4852
7661,0.484
7711,0.4827
7761,0.4817
7811,0.4821
7861,0.4816
7911,0.4813
7961,0.4806
8011,0.4793
8061,0.4799
8111,0.4782
8161,0.4765
8211,0.4761
8261,0.4762
8311,0.4763
8361,0.4765
8411,0.4759
8461,0.476
8511,0.4757
