Step,Value
1506662,0.6198
1506712,0.1417
1506762,0.1491
1506812,0.1512
1506862,0.1507
1506912,0.1494
1506962,0.1489
1507012,0.1425
1507062,0.1394
1507112,0.1354
1507162,0.1341
1507212,0.1334
1507262,0.1337
1507312,0.1347
1507362,0.1348
1507412,0.1349
1507462,0.1344
1507512,0.1341
1507562,0.1332
1507612,0.1326
1507662,0.1317
1507712,0.1313
1507762,0.1313
1507812,0.1315
1507862,0.1312
1507912,0.1305
1507962,0.13
1508012,0.1298
1508062,0.1296
1508112,0.1292
1508162,0.1287
1508212,0.1284
1508262,0.1286
1508312,0.1286
1508362,0.1282
1508412,0.1277
1508462,0.1278
1508512,0.1273
1508562,0.1272
1508612,0.1272
1508662,0.127
1508712,0.1267
1508762,0.1265
1508812,0.1259
1508862,0.1257
1508912,0.1254
1508962,0.1254
1509012,0.1251
1509062,0.125
1509112,0.1246
1509162,0.1242
1509212,0.1242
1509262,0.1242
1509312,0.1244
1509362,0.1247
1509412,0.1245
1509462,0.1245
1509512,0.1252
1509562,0.1252
1509612,0.1253
1509662,0.1255
1509712,0.1251
1509762,0.1251
1509812,0.125
1509862,0.1247
1509912,0.1249
1509962,0.1249
1510012,0.1246
1510062,0.1244
1510112,0.1253
1510162,0.1252
1510212,0.1249
1510262,0.1249
1510312,0.1248
1510362,0.125
1510412,0.1253
1510462,0.1254
1510512,0.1253
1510562,0.1252
1510612,0.1251
1510662,0.1247
1510712,0.1249
1510762,0.1248
1510812,0.1248
1510862,0.1245
1510912,0.1246
1510962,0.1244
1511012,0.1242
1511062,0.1243
1511112,0.1245
1511162,0.1243
1511212,0.1246
1511262,0.1245
1511312,0.1245
1511362,0.1242
1511412,0.1243
1511462,0.1242
1511512,0.1243
1511562,0.1241
1511612,0.124
1511662,0.124
1511701,0.0681
1511751,0.0982
1511801,0.1015
1511851,0.1041
1511901,0.1076
1511951,0.1128
1512001,0.1156
1512051,0.1178
1512101,0.121
1512151,0.1218
1512201,0.1215
1512251,0.1194
1512301,0.1197
1512351,0.1203
1512401,0.1207
1512451,0.1204
1512501,0.1195
1512551,0.12
1512601,0.1194
1512651,0.119
1512701,0.1201
1512751,0.1213
1512801,0.1217
1512851,0.1214
1512901,0.1212
1512951,0.1212
1513001,0.1204
1513051,0.1205
1513101,0.1202
1513151,0.121
1513201,0.1203
1513251,0.1202
1513301,0.1204
1513351,0.1204
1513401,0.1201
1513451,0.1207
1513501,0.121
1513551,0.1207
1513601,0.1211
1513651,0.1207
1513701,0.1208
1513751,0.1216
1513801,0.1216
1513851,0.1213
1513901,0.121
1513951,0.121
1514001,0.1227
1514051,0.1223
1514101,0.1223
1514151,0.1219
1514201,0.1224
1514251,0.1224
1514301,0.1222
1514351,0.1224
1514401,0.1222
1514451,0.1219
1514501,0.1218
1514551,0.1221
1514601,0.1221
1514651,0.1218
1514701,0.1218
1514751,0.1218
1514801,0.1215
1514851,0.1214
1514901,0.1217
1514951,0.1216
1515001,0.1217
1515051,0.1215
1515101,0.1213
1515151,0.1219
1515201,0.1218
1515251,0.1217
1515301,0.1219
1515351,0.1219
1515401,0.1216
1515451,0.1215
1515501,0.1214
1515551,0.1215
1515601,0.1216
1515651,0.1215
1515701,0.1214
1515751,0.1217
1515801,0.1218
1515851,0.1219
1515901,0.1216
1515951,0.1213
1516001,0.1212
1516051,0.1212
1516101,0.121
1516151,0.1209
1516201,0.1207
1516251,0.1206
1516301,0.1206
1516351,0.1206
1516401,0.1205
1516451,0.1205
1516501,0.1206
1516551,0.1204
1516601,0.1204
1516651,0.1204
1516701,0.1203
1516740,0.0375
1516790,0.1202
1516840,0.1217
1516890,0.1175
1516940,0.1142
1516990,0.1168
1517040,0.1152
1517090,0.1173
1517140,0.118
1517190,0.1185
1517240,0.1199
1517290,0.1181
1517340,0.1179
1517390,0.1183
1517440,0.1178
1517490,0.1176
1517540,0.1171
1517590,0.1172
1517640,0.1169
1517690,0.1172
1517740,0.1184
1517790,0.1177
1517840,0.1179
1517890,0.1173
1517940,0.1174
1517990,0.1171
1518040,0.1174
1518090,0.1172
1518140,0.1169
1518190,0.1172
1518240,0.118
1518290,0.1182
1518340,0.118
1518390,0.1178
1518440,0.1176
1518490,0.1189
1518540,0.1186
1518590,0.1183
1518640,0.1179
1518690,0.1186
1518740,0.1179
1518790,0.1185
1518840,0.1185
1518890,0.1186
1518940,0.1185
1518990,0.1182
1519040,0.1179
1519090,0.1179
1519140,0.1181
1519190,0.1182
1519240,0.118
1519290,0.1181
1519340,0.1188
1519390,0.1187
1519440,0.1188
1519490,0.1189
1519540,0.1186
1519590,0.1183
1519640,0.118
1519690,0.1178
1519740,0.118
1519790,0.1178
1519840,0.1177
1519890,0.1189
1519940,0.1189
1519990,0.1192
1520040,0.1188
1520090,0.1185
1520140,0.1183
1520190,0.1181
1520240,0.1179
1520290,0.1178
1520340,0.1176
1520390,0.1176
1520440,0.1174
1520490,0.1173
1520540,0.1175
1520590,0.1175
1520640,0.1175
1520690,0.1175
1520740,0.1175
1520790,0.1175
1520840,0.1175
1520890,0.1173
1520940,0.1174
1520990,0.118
1521040,0.1181
1521090,0.1182
1521140,0.1181
1521190,0.1179
1521240,0.1181
1521290,0.1185
1521340,0.1188
1521390,0.119
1521440,0.1191
1521490,0.1192
1521540,0.1194
1521590,0.1193
1521640,0.1193
1521690,0.1195
1521740,0.1196
1521779,0.0816
1521829,0.1099
1521879,0.1127
1521929,0.1164
1521979,0.1186
1522029,0.1192
1522079,0.1172
1522129,0.1168
1522179,0.12
1522229,0.1186
1522279,0.1199
1522329,0.1179
1522379,0.1181
1522429,0.119
1522479,0.1182
1522529,0.119
1522579,0.1184
1522629,0.1193
1522679,0.1207
1522729,0.1211
1522779,0.1206
1522829,0.1203
1522879,0.119
1522929,0.1188
1522979,0.1191
1523029,0.12
1523079,0.1198
1523129,0.1197
1523179,0.1198
1523229,0.1193
1523279,0.1195
1523329,0.1193
1523379,0.1197
1523429,0.1196
1523479,0.1202
1523529,0.12
1523579,0.1196
1523629,0.1208
1523679,0.1202
1523729,0.1203
1523779,0.1199
1523829,0.1204
1523879,0.1202
1523929,0.1201
1523979,0.1196
1524029,0.1194
1524079,0.1195
1524129,0.1192
1524179,0.1193
1524229,0.1195
1524279,0.1198
1524329,0.1195
1524379,0.1194
1524429,0.12
1524479,0.1197
1524529,0.1196
1524579,0.1196
1524629,0.1193
1524679,0.1191
1524729,0.1191
1524779,0.1189
1524829,0.1191
1524879,0.1191
1524929,0.119
1524979,0.1191
1525029,0.1189
1525079,0.1189
1525129,0.1187
1525179,0.1186
1525229,0.1187
1525279,0.119
1525329,0.1191
1525379,0.1189
1525429,0.1188
1525479,0.119
1525529,0.119
1525579,0.1192
1525629,0.119
1525679,0.119
1525729,0.119
1525779,0.1188
1525829,0.1186
1525879,0.1188
1525929,0.1189
1525979,0.1189
1526029,0.1198
1526079,0.1197
1526129,0.1195
1526179,0.1196
1526229,0.1196
1526279,0.1194
1526329,0.1193
1526379,0.1193
1526429,0.1193
1526479,0.1194
1526529,0.1195
1526579,0.1193
1526629,0.1194
1526679,0.1193
1526729,0.1192
1526779,0.1193
1526818,0.0708
1526868,0.114
1526918,0.1166
1526968,0.1171
1527018,0.1129
1527068,0.1154
1527118,0.1159
1527168,0.1158
1527218,0.1182
1527268,0.1192
1527318,0.1196
1527368,0.1201
1527418,0.119
1527468,0.1192
1527518,0.1217
1527568,0.1215
1527618,0.1231
1527668,0.1221
1527718,0.123
1527768,0.1222
1527818,0.1221
1527868,0.1228
1527918,0.1216
1527968,0.1211
1528018,0.1212
1528068,0.1211
1528118,0.1214
1528168,0.1205
1528218,0.1209
1528268,0.1207
1528318,0.1211
1528368,0.1205
1528418,0.1201
1528468,0.1195
1528518,0.1199
1528568,0.1195
1528618,0.1188
1528668,0.1183
1528718,0.1185
1528768,0.1186
1528818,0.1185
1528868,0.1187
1528918,0.1188
1528968,0.1189
1529018,0.119
