Step,Value
1,1.4765
51,0.9475
101,0.9776
151,0.9111
201,0.9061
251,0.8838
301,0.8771
351,0.8797
401,0.8766
451,0.8724
501,0.8692
551,0.9015
601,0.8963
651,0.9009
701,0.8869
751,0.8999
801,0.8954
851,0.9008
901,0.9106
951,0.9088
1001,0.9042
1051,0.8961
1101,0.8929
1151,0.893
1201,0.8877
1251,0.8948
1301,0.8901
1351,0.8924
1401,0.8893
1451,0.8894
1501,0.8869
1551,0.8837
1601,0.8824
1651,0.8807
1701,0.8768
1751,0.8814
1801,0.8798
1851,0.8823
1901,0.8806
1951,0.8813
2001,0.8844
2051,0.8858
2101,0.8854
2151,0.8831
2201,0.8816
2251,0.8845
2301,0.884
2351,0.8843
2401,0.8833
2451,0.8859
2501,0.8841
2551,0.8849
2601,0.8841
2651,0.8843
2701,0.8825
2751,0.8825
2801,0.8818
2851,0.8802
2901,0.8803
2951,0.8781
3001,0.8774
3051,0.8784
3101,0.877
3151,0.8779
3201,0.879
3251,0.8783
3301,0.8781
3351,0.8769
3401,0.8755
3451,0.874
3501,0.8738
3551,0.8738
3601,0.8731
3651,0.8731
3701,0.8736
3751,0.873
3801,0.8723
3851,0.8715
3901,0.8693
3951,0.8698
4001,0.8694
4051,0.8698
4101,0.8709
4151,0.8691
4201,0.8691
4251,0.8692
4301,0.8686
4351,0.868
4401,0.8682
4451,0.8693
4501,0.8689
4551,0.8683
4601,0.8674
4651,0.8694
4701,0.8694
4751,0.8691
4801,0.868
4851,0.8694
4898,0.4414
4948,0.9213
4998,0.8898
5048,0.8861
5098,0.8985
5148,0.9037
5198,0.8961
5248,0.9158
5298,0.9115
5348,0.8996
5398,0.9048
5448,0.9135
5498,0.9113
5548,0.9068
5598,0.9052
5648,0.9005
5698,0.8981
5748,0.8916
5798,0.8971
5848,0.8982
5898,0.8945
5948,0.8928
5998,0.8891
6048,0.8843
6098,0.879
6148,0.879
6198,0.8767
6248,0.8804
6298,0.8789
6348,0.8795
6398,0.8766
6448,0.8787
6498,0.8758
6548,0.8728
6598,0.8703
6648,0.8702
6698,0.8709
6748,0.8708
6798,0.8738
6848,0.8734
6898,0.8752
6948,0.8713
6998,0.8694
7048,0.8713
7098,0.8737
7148,0.872
7198,0.8715
7248,0.8714
7298,0.8745
7348,0.871
7398,0.8743
7448,0.8741
7498,0.8731
7548,0.8754
7598,0.872
7648,0.8701
7698,0.8684
7748,0.8689
7798,0.8697
7848,0.8701
7898,0.8698
7948,0.8695
7998,0.8697
8048,0.8675
8098,0.8665
8148,0.8672
8198,0.866
8248,0.8647
8298,0.8663
8348,0.8667
8398,0.8669
8448,0.8641
8498,0.862
8548,0.8626
8598,0.862
8648,0.8612
8698,0.8601
8748,0.8599
8798,0.858
8848,0.8587
8898,0.8566
8948,0.858
8998,0.8588
9048,0.8619
9098,0.8625
9148,0.8622
9198,0.8609
9248,0.8594
9298,0.86
9348,0.8589
9398,0.8596
9448,0.8598
9498,0.8601
9548,0.861
9598,0.8611
9648,0.8636
9698,0.8631
9748,0.862
9795,0.6712
9845,0.8636
9895,0.835
9945,0.8692
9995,0.8232
10045,0.8555
10095,0.8501
10145,0.8518
10195,0.8463
10245,0.8541
10295,0.8668
10345,0.8771
10395,0.8837
10445,0.8879
10495,0.8832
10545,0.883
10595,0.8812
10645,0.8766
10695,0.872
10745,0.8749
10795,0.8742
10845,0.8765
10895,0.8722
10945,0.8747
10995,0.87
11045,0.8673
11095,0.8649
11145,0.8727
11195,0.8766
11245,0.8821
11295,0.8831
