Wall time,Step,Value
,1,0.6985
,51,0.8227
,101,0.7549
,151,0.7707
,201,0.8177
,251,0.8545
,301,0.8565
,351,0.8533
,401,0.8433
,451,0.8359
,501,0.8331
,551,0.8321
,601,0.826
,651,0.8192
,701,0.8225
,751,0.8323
,801,0.8301
,851,0.837
,901,0.8485
,951,0.8475
,1001,0.8496
,1051,0.8496
,1101,0.8539
,1151,0.8525
,1201,0.8468
,1251,0.8509
,1301,0.8512
,1351,0.847
,1401,0.8526
,1451,0.8553
,1501,0.856
,1551,0.8551
,1601,0.8532
,1651,0.8521
,1701,0.849
,1751,0.8495
,1801,0.8454
,1851,0.8451
,1901,0.843
,1951,0.8443
,2001,0.8414
,2051,0.8364
,2101,0.8374
,2151,0.8376
,2201,0.8366
,2251,0.8346
,2301,0.8317
,2351,0.8334
,2401,0.8334
,2451,0.8323
,2501,0.8345
,2551,0.835
,2601,0.8343
,2651,0.8333
,2701,0.8315
,2751,0.8326
,2801,0.8307
,2851,0.8319
,2901,0.8303
,2951,0.8311
,3001,0.8278
,3051,0.8277
,3101,0.8248
,3151,0.8228
,3201,0.821
,3251,0.8211
,3301,0.8185
,3351,0.8167
,3401,0.8143
,3451,0.8136
,3501,0.8112
,3551,0.8087
,3601,0.806
,3651,0.805
,3701,0.8041
,3751,0.8022
,3801,0.8013
,3851,0.7998
,3901,0.7977
,3951,0.7948
,4001,0.7926
,4051,0.7904
,4101,0.7874
,4151,0.7836
,4201,0.7816
,4251,0.7798
,4301,0.777
,4351,0.7738
,4401,0.7721
,4451,0.7696
,4501,0.768
,4551,0.7659
,4601,0.7628
,4651,0.7605
,4701,0.7579
,4751,0.7548
,4801,0.7531
,4851,0.7498
,4898,0.1691
,4948,0.5437
,4998,0.5072
,5048,0.5343
,5098,0.5723
,5148,0.5554
,5198,0.5539
,5248,0.5699
,5298,0.5622
,5348,0.5684
,5398,0.5611
,5448,0.5505
,5498,0.5508
,5548,0.5432
,5598,0.5358
,5648,0.531
,5698,0.5345
,5748,0.5372
,5798,0.5349
,5848,0.5285
,5898,0.526
,5948,0.5213
,5998,0.5197
,6048,0.5179
,6098,0.5145
,6148,0.5224
,6198,0.5263
,6248,0.5251
,6298,0.5241
,6348,0.5219
,6398,0.526
,6448,0.527
,6498,0.5255
,6548,0.5262
,6598,0.5278
,6648,0.5269
,6698,0.5249
,6748,0.5231
,6798,0.526
,6848,0.524
,6898,0.5212
,6948,0.5225
,6998,0.5219
,7048,0.5197
,7098,0.5179
,7148,0.5154
,7198,0.5155
,7248,0.5141
,7298,0.5141
,7348,0.5148
,7398,0.5126
,7448,0.5106
,7498,0.5087
,7548,0.5076
,7598,0.5063
,7648,0.5048
,7698,0.5035
,7748,0.5009
,7798,0.4994
,7848,0.4986
,7898,0.4975
,7948,0.4965
,7998,0.4977
,8048,0.4982
,8098,0.4984
,8148,0.4967
,8198,0.4952
,8248,0.495
,8298,0.4946
,8348,0.4941
,8398,0.4924
,8448,0.4922
,8498,0.4914
,8548,0.4909
,8598,0.4896
,8648,0.4908
,8698,0.4893
,8748,0.4878
,8798,0.4884
,8848,0.4888
,8898,0.4892
,8948,0.4904
,8998,0.4894
,9048,0.4886
,9098,0.4897
,9148,0.489
,9198,0.4881
,9248,0.4876
,9298,0.488
,9348,0.4879
,9398,0.4881
,9448,0.4875
,9498,0.4867
,9548,0.4864
,9598,0.4854
,9648,0.4853
,9698,0.484
,9748,0.4835
,9795,1.6982
,9845,0.4043
,9895,0.4383
,9945,0.4365
,9995,0.445
,10045,0.4309
,10095,0.4532
,10145,0.4571
,10195,0.4547
,10245,0.4534
,10295,0.4538
,10345,0.4594
,10395,0.4603
,10445,0.4585
,10495,0.4526
,10545,0.4561
,10595,0.4592
,10645,0.4619
,10695,0.4581
,10745,0.4591
,10795,0.4556
,10845,0.4555
,10895,0.4558
,10945,0.4585
,10995,0.4577
,11045,0.4543
,11095,0.4531
,11145,0.4505
,11195,0.4496
,11245,0.4496
,11295,0.4481
,11345,0.4522
,11395,0.4509
,11445,0.4492
,11495,0.4509
,11545,0.4489
,11595,0.4482
,11645,0.4485
,11695,0.4484
,11745,0.4509
,11795,0.4503
,11845,0.4514
,11895,0.449
,11945,0.4493
,11995,0.449
,12045,0.4474
,12095,0.4455
,12145,0.4447
,12195,0.4429
,12245,0.4449
,12295,0.4471
,12345,0.449
,12395,0.4489
,12445,0.4483
,12495,0.447
,12545,0.4454
,12595,0.4455
,12645,0.4447
,12695,0.4449
,12745,0.4432
,12795,0.442
,12845,0.4406
,12895,0.44
,12945,0.4401
,12995,0.4399
,13045,0.4401
,13095,0.4384
,13145,0.4382
,13195,0.4383
,13245,0.4377
,13295,0.4364
,13345,0.437
,13395,0.4359
,13445,0.4341
,13495,0.4329
,13545,0.432
,13595,0.4309
,13645,0.4304
,13695,0.4307
,13745,0.4309
,13795,0.4311
,13845,0.4322
,13895,0.4332
,13945,0.4326
,13995,0.432
,14045,0.4316
,14095,0.4324
,14145,0.432
,14195,0.4316
,14245,0.4313
,14295,0.4312
,14345,0.4309
,14395,0.4294
,14445,0.4289
,14495,0.4295
,14545,0.4291
,14595,0.4295
,14645,0.4293
,14692,0.23
,14742,0.348
,14792,0.4051
,14842,0.444
,14892,0.433
,14942,0.4126
,14992,0.4084
,15042,0.4172
,15092,0.4138
,15142,0.4118
,15192,0.4135
,15242,0.4147
,15292,0.4127
,15342,0.4144
,15392,0.4095
,15442,0.4064
,15492,0.4095
,15542,0.4081
,15592,0.407
,15642,0.4045
,15692,0.4032
,15742,0.4077
,15792,0.4094
,15842,0.408
,15892,0.4075
,15942,0.4061
,15992,0.4053
,16042,0.4038
,16092,0.4037
,16142,0.4019
,16192,0.4051
,16242,0.4039
,16292,0.4021
,16342,0.4012
,16392,0.4005
,16442,0.4015
,16492,0.4009
,16542,0.402
,16592,0.4003
,16642,0.4007
,16692,0.3998
,16742,0.3985
,16792,0.3966
,16842,0.3968
,16892,0.3951
,16942,0.3973
,16992,0.3968
,17042,0.395
,17092,0.3949
,17142,0.3962
,17192,0.3962
,17242,0.3969
,17292,0.3965
,17342,0.3962
