Step,Value
1,0.4229
51,0.8107
101,0.7916
151,0.8444
201,0.8051
251,0.7849
301,0.8378
351,0.8415
401,0.855
451,0.8526
501,0.8545
551,0.8575
601,0.8538
651,0.8517
701,0.8454
751,0.8441
801,0.8363
851,0.8382
901,0.8371
951,0.8323
1001,0.8353
1051,0.8323
1101,0.831
1151,0.8338
1201,0.8345
1251,0.8315
1301,0.8339
1351,0.831
1401,0.8301
1451,0.8293
1501,0.8304
1551,0.8348
1601,0.8321
1651,0.8292
1701,0.8282
1751,0.8267
1801,0.8243
1851,0.8205
1901,0.8157
1951,0.8114
2001,0.8119
2051,0.8078
2101,0.8004
2151,0.7981
2201,0.7948
2251,0.7946
2301,0.7912
2351,0.7869
2401,0.7831
2451,0.7813
2501,0.7777
2551,0.7735
2601,0.771
2651,0.7669
2701,0.7631
2751,0.7615
2801,0.7568
2851,0.7549
2901,0.7543
2951,0.7498
3001,0.746
3051,0.7429
3101,0.7422
3151,0.7395
3201,0.7362
3251,0.7327
3301,0.7299
3351,0.7269
3401,0.7228
3451,0.72
3501,0.7166
3551,0.7147
3601,0.712
3651,0.7107
3701,0.7077
3751,0.705
3801,0.7041
3851,0.7021
3901,0.6995
3951,0.697
4001,0.6954
4051,0.6931
4101,0.6913
4151,0.6887
4201,0.6888
4251,0.6865
4301,0.6867
4351,0.6849
4401,0.6842
4451,0.6825
4501,0.6798
4551,0.6775
4601,0.6756
4651,0.6728
4701,0.6719
4751,0.6703
4801,0.6694
4851,0.6678
4898,0.2014
4948,0.6129
4998,0.5269
5048,0.5123
5098,0.5014
5148,0.4899
5198,0.489
5248,0.4938
5298,0.4988
5348,0.5013
5398,0.5015
5448,0.5026
5498,0.4971
5548,0.4956
5598,0.4911
5648,0.4944
5698,0.4899
5748,0.4835
5798,0.4876
5848,0.4876
5898,0.483
5948,0.4792
5998,0.4759
6048,0.4769
6098,0.4756
6148,0.4752
6198,0.4779
6248,0.4759
6298,0.4739
6348,0.4773
6398,0.4764
6448,0.4774
6498,0.4771
6548,0.4761
6598,0.4754
6648,0.4774
6698,0.4763
6748,0.4768
6798,0.4779
6848,0.4778
6898,0.4784
6948,0.4764
6998,0.4792
7048,0.4781
7098,0.4803
7148,0.48
7198,0.4801
7248,0.4797
7298,0.4804
7348,0.4804
7398,0.4783
7448,0.4778
7498,0.4774
7548,0.4791
7598,0.4781
7648,0.4779
7698,0.4769
7748,0.4763
7798,0.4789
7848,0.479
7898,0.4785
7948,0.4785
7998,0.478
8048,0.4783
8098,0.4799
8148,0.4808
8198,0.4803
8248,0.4794
8298,0.4786
8348,0.4783
8398,0.4784
8448,0.4785
8498,0.4779
8548,0.4787
8598,0.479
8648,0.4779
8698,0.4777
8748,0.4781
8798,0.478
8848,0.4786
8898,0.4784
8948,0.4795
8998,0.4778
9048,0.4781
9098,0.4796
9148,0.478
9198,0.477
9248,0.4769
9298,0.4766
9348,0.4782
9398,0.4787
9448,0.4782
9498,0.4776
9548,0.4772
9598,0.478
9648,0.4779
9698,0.4785
9748,0.4778
9795,1.0461
9845,0.4447
9895,0.4379
9945,0.4766
9995,0.4835
10045,0.4701
10095,0.4502
10145,0.4434
10195,0.4331
10245,0.4322
10295,0.4325
10345,0.4272
10395,0.4358
10445,0.4367
10495,0.4495
10545,0.4492
10595,0.4575
10645,0.4528
10695,0.4541
10745,0.4529
10795,0.4479
10845,0.4467
10895,0.4474
10945,0.446
10995,0.4451
11045,0.4436
11095,0.4421
11145,0.4422
11195,0.4411
11245,0.4418
11295,0.4407
11345,0.4387
11395,0.4389
11445,0.437
11495,0.439
11545,0.4395
11595,0.4409
11645,0.4413
11695,0.4397
11745,0.4406
11795,0.4432
11845,0.4416
11895,0.4404
11945,0.4377
11995,0.44
