Step,Value
1,0.2149
51,0.1556
101,0.1565
151,0.1695
201,0.1774
251,0.1787
301,0.1759
351,0.1742
401,0.1736
451,0.173
501,0.1695
551,0.1686
601,0.1713
651,0.1729
701,0.1739
751,0.174
801,0.1739
851,0.1732
901,0.1734
951,0.1725
1001,0.1724
1051,0.171
1101,0.171
1151,0.1711
1201,0.1711
1251,0.1701
1301,0.1701
1351,0.1699
1401,0.169
1451,0.1687
1501,0.1684
1551,0.1669
1601,0.1667
1651,0.1668
1701,0.1675
1751,0.1682
1801,0.1681
1851,0.1678
1901,0.1672
1951,0.1662
2001,0.1668
2051,0.1667
2101,0.1658
2151,0.1653
2201,0.1649
2251,0.164
2301,0.1636
2351,0.1632
2401,0.163
2451,0.1627
2501,0.1621
2551,0.1621
2601,0.1626
2651,0.1627
2701,0.1629
2751,0.1629
2801,0.1637
2851,0.1635
2901,0.1633
2951,0.1634
3001,0.1631
3051,0.1623
3101,0.1622
3151,0.162
3201,0.1621
3251,0.1616
3301,0.1611
3351,0.1609
3401,0.1607
3451,0.1601
3501,0.1594
3551,0.1592
3601,0.1584
3651,0.1577
3701,0.157
3751,0.1565
3801,0.156
3851,0.1558
3901,0.1551
3951,0.1548
4001,0.1541
4051,0.1537
4101,0.1529
4151,0.1523
4201,0.1516
4251,0.1508
4301,0.1504
4351,0.1499
4401,0.1494
4451,0.1488
4501,0.1482
4551,0.1477
4601,0.1472
4651,0.1466
4701,0.146
4751,0.1457
4801,0.1452
4851,0.1447
4901,0.1442
4951,0.1435
5001,0.1434
5040,0.0453
5090,0.0803
5140,0.0923
5190,0.0936
5240,0.096
5290,0.0907
5340,0.089
5390,0.088
5440,0.0874
5490,0.091
5540,0.0915
5590,0.0918
5640,0.0908
5690,0.0902
5740,0.0906
5790,0.0906
5840,0.09
5890,0.0927
5940,0.0924
5990,0.0924
6040,0.0926
6090,0.0921
6140,0.0918
6190,0.0917
6240,0.0915
6290,0.0922
6340,0.0919
6390,0.0917
6440,0.0918
6490,0.0912
6540,0.0911
6590,0.0909
6640,0.0911
6690,0.0909
6740,0.0906
6790,0.0904
6840,0.0904
6890,0.0908
6940,0.0909
6990,0.0907
7040,0.0903
7090,0.0901
7140,0.0903
7190,0.0906
7240,0.0905
7290,0.0899
7340,0.0897
7390,0.0904
7440,0.0903
7490,0.0901
7540,0.0902
7590,0.09
7640,0.09
7690,0.0898
7740,0.0896
7790,0.0894
7840,0.0895
7890,0.0894
7940,0.0893
7990,0.0893
8040,0.0891
8090,0.089
8140,0.0887
8190,0.0885
8240,0.0887
8290,0.0885
8340,0.0882
8390,0.0879
8440,0.0878
8490,0.0877
8540,0.0876
8590,0.0877
8640,0.0877
8690,0.0878
8740,0.088
8790,0.0879
8840,0.0876
8890,0.0874
8940,0.0874
8990,0.0874
9040,0.0872
9090,0.0874
9140,0.0873
9190,0.0872
9240,0.0871
9290,0.0868
9340,0.0868
9390,0.0866
9440,0.0864
9490,0.0863
9540,0.0861
9590,0.0861
9640,0.086
9690,0.0859
9740,0.0859
9790,0.0858
9840,0.0859
9890,0.0859
9940,0.0857
9990,0.086
10040,0.0858
10079,0.042
10129,0.0771
10179,0.0716
10229,0.0703
10279,0.0728
10329,0.0727
10379,0.0723
10429,0.0782
10479,0.0785
10529,0.0788
10579,0.0788
10629,0.0776
10679,0.0766
10729,0.0764
10779,0.0766
10829,0.0762
10879,0.0769
10929,0.077
10979,0.0762
11029,0.0761
11079,0.0769
11129,0.0775
11179,0.0784
11229,0.0795
11279,0.0799
11329,0.0796
11379,0.0797
11429,0.0796
11479,0.0796
11529,0.0795
11579,0.0792
11629,0.079
11679,0.0795
11729,0.0792
11779,0.0792
11829,0.0794
11879,0.0792
11929,0.0792
11979,0.079
12029,0.0787
12079,0.0786
12129,0.0786
12179,0.0787
12229,0.0783
12279,0.0782
12329,0.0783
12379,0.0779
12429,0.0777
12479,0.0778
12529,0.0775
12579,0.0778
12629,0.0774
12679,0.0773
12729,0.0773
12779,0.0777
12829,0.0775
12879,0.0773
12929,0.0775
12979,0.0774
13029,0.0772
13079,0.0772
13129,0.0769
13179,0.0766
13229,0.0763
13279,0.0762
13329,0.0759
13379,0.0761
13429,0.0761
13479,0.0761
13529,0.0761
13579,0.076
13629,0.0759
13679,0.0758
13729,0.0758
13779,0.0765
13829,0.0765
13879,0.0763
13929,0.0762
13979,0.0763
14029,0.0762
14079,0.0762
14129,0.0763
14179,0.0761
14229,0.076
14279,0.0761
14329,0.0761
14379,0.0761
14429,0.076
14479,0.076
14529,0.0758
14579,0.0756
14629,0.0757
14679,0.0755
14729,0.0755
14779,0.0758
14829,0.0757
14879,0.0757
14929,0.0756
14979,0.0755
15029,0.0755
15079,0.0756
15118,0.0664
15168,0.0779
15218,0.0774
15268,0.0821
15318,0.0779
15368,0.0781
15418,0.0757
15468,0.077
15518,0.0753
15568,0.0754
15618,0.0747
15668,0.0745
15718,0.0758
15768,0.0746
15818,0.0738
15868,0.0733
15918,0.0726
15968,0.0718
16018,0.0715
16068,0.0714
16118,0.0722
16168,0.0718
16218,0.0714
16268,0.0718
16318,0.072
16368,0.0719
16418,0.0719
16468,0.0718
16518,0.0716
16568,0.0715
16618,0.0715
16668,0.0721
16718,0.072
16768,0.0721
16818,0.072
16868,0.0717
16918,0.0717
16968,0.0715
17018,0.0711
17068,0.0709
17118,0.0711
17168,0.071
17218,0.0708
17268,0.0707
17318,0.0705
17368,0.0705
17418,0.0702
17468,0.07
17518,0.0697
17568,0.0697
17618,0.0704
17668,0.0703
17718,0.0701
17768,0.0702
17818,0.0705
17868,0.0704
17918,0.0702
17968,0.0702
18018,0.07
18068,0.0699
18118,0.0697
18168,0.0697
18218,0.0699
18268,0.0696
18318,0.0694
18368,0.0695
18418,0.0698
18468,0.0696
18518,0.0696
18568,0.0697
18618,0.0698
18668,0.0698
18718,0.0697
18768,0.0696
18818,0.0698
18868,0.0699
18918,0.0698
18968,0.07
19018,0.0705
19068,0.0704
19118,0.0706
19168,0.0708
19218,0.0708
19268,0.0706
19318,0.0704
19368,0.0703
19418,0.0702
19468,0.0703
19518,0.0703
19568,0.0703
19618,0.0702
19668,0.0701
19718,0.07
19768,0.0699
19818,0.0699
19868,0.07
19918,0.07
19968,0.07
20018,0.0702
20068,0.07
20118,0.0699
20157,0.0331
20207,0.0643
20257,0.0632
20307,0.0633
20357,0.0623
20407,0.0639
20457,0.0626
20507,0.0626
20557,0.0655
20607,0.0653
20657,0.0655
20707,0.0658
20757,0.0657
20807,0.0658
20857,0.0661
20907,0.066
20957,0.0672
21007,0.0672
21057,0.0672
21107,0.0669
21157,0.0668
21207,0.0683
21257,0.0682
21307,0.0679
21357,0.0676
21407,0.067
21457,0.0664
21507,0.0668
21557,0.0667
21607,0.0666
21657,0.067
21707,0.0672
21757,0.0672
21807,0.0673
21857,0.0671
21907,0.067
21957,0.0673
22007,0.0672
22057,0.0679
22107,0.0678
22157,0.0676
22207,0.0676
22257,0.0678
22307,0.0677
22357,0.0683
22407,0.0681
22457,0.0679
22507,0.0681
22557,0.0679
22607,0.0678
22657,0.0676
22707,0.0676
22757,0.0677
22807,0.0676
22857,0.0677
22907,0.0677
22957,0.0677
23007,0.0675
23057,0.0675
23107,0.0676
23157,0.0675
23207,0.0673
23257,0.0672
23307,0.0673
23357,0.0671
23407,0.0671
23457,0.0673
23507,0.0672
23557,0.067
23607,0.0669
23657,0.0668
23707,0.0666
23757,0.0667
23807,0.0666
23857,0.0664
23907,0.0664
23957,0.0666
24007,0.0666
24057,0.0666
24107,0.0666
24157,0.0665
24207,0.0666
24257,0.0665
24307,0.0666
24357,0.0666
24407,0.0666
24457,0.0666
24507,0.0667
24557,0.0668
24607,0.0669
24657,0.0667
24707,0.0667
24757,0.0668
24807,0.0667
24857,0.0666
24907,0.0666
24957,0.0666
25007,0.0666
25057,0.0665
25107,0.0668
25157,0.0668
25196,0.0835
25246,0.0689
25296,0.0645
25346,0.0608
25396,0.0608
25446,0.0608
25496,0.0603
25546,0.0594
25596,0.059
25646,0.059
25696,0.0586
25746,0.0587
25796,0.059
25846,0.0594
25896,0.0592
25946,0.0599
25996,0.0603
26046,0.0605
26096,0.0608
26146,0.0612
26196,0.0613
26246,0.0617
26296,0.0616
26346,0.0619
26396,0.0618
26446,0.0618
26496,0.0617
26546,0.0619
26596,0.0616
26646,0.0615
26696,0.0611
26746,0.0615
26796,0.0615
26846,0.0618
26896,0.0623
26946,0.0622
26996,0.0624
27046,0.0623
27096,0.0624
27146,0.0628
27196,0.0629
27246,0.0629
27296,0.0629
27346,0.0628
27396,0.0632
27446,0.0631
27496,0.0628
27546,0.0628
27596,0.0628
27646,0.0628
27696,0.0628
27746,0.0629
27796,0.0637
27846,0.0638
27896,0.0638
27946,0.0636
27996,0.0634
28046,0.0632
28096,0.0635
28146,0.0634
28196,0.0633
28246,0.0631
28296,0.0631
28346,0.0633
28396,0.0633
28446,0.0634
28496,0.0635
28546,0.0634
28596,0.0635
28646,0.0638
28696,0.0638
28746,0.0639
28796,0.0638
28846,0.0638
28896,0.0639
28946,0.064
28996,0.0638
29046,0.0637
29096,0.0637
29146,0.0635
29196,0.0637
29246,0.0639
29296,0.0639
29346,0.0639
29396,0.0639
29446,0.0639
29496,0.0641
29546,0.0641
29596,0.0641
29646,0.0641
29696,0.0641
29746,0.0642
29796,0.0642
29846,0.0641
29896,0.064
29946,0.0639
29996,0.0641
30046,0.064
30096,0.0641
30146,0.064
30196,0.064
30235,0.0388
30285,0.0618
30335,0.0558
30385,0.0593
30435,0.0608
30485,0.0596
30535,0.059
30585,0.0588
30635,0.0592
30685,0.0598
30735,0.0607
30785,0.0614
30835,0.0609
30885,0.0608
30935,0.0602
30985,0.0612
31035,0.0615
31085,0.0609
31135,0.0611
31185,0.0604
31235,0.0608
31285,0.0603
31335,0.0604
31385,0.0614
31435,0.0612
31485,0.0614
31535,0.0613
31585,0.0614
31635,0.061
31685,0.0607
31735,0.0603
31785,0.0605
31835,0.0604
31885,0.0602
31935,0.0599
31985,0.0603
32035,0.0602
32085,0.0606
32135,0.0609
32185,0.0608
32235,0.061
32285,0.0609
32335,0.0608
32385,0.0607
32435,0.0607
32485,0.0608
32535,0.0609
32585,0.0613
32635,0.0613
32685,0.0614
32735,0.0613
32785,0.0611
32835,0.061
32885,0.0611
32935,0.061
32985,0.061
33035,0.0608
33085,0.0608
33135,0.0611
33185,0.0611
33235,0.0613
33285,0.0613
33335,0.0613
33385,0.0615
33435,0.0617
33485,0.0617
33535,0.0617
33585,0.0616
33635,0.0616
33685,0.0615
33735,0.0615
33785,0.0614
33835,0.0614
33885,0.0617
33935,0.0617
33985,0.0617
34035,0.0618
34085,0.0618
34135,0.0617
34185,0.0617
34235,0.0616
34285,0.0614
34335,0.0614
34385,0.0614
34435,0.0614
34485,0.0619
34535,0.062
34585,0.0619
34635,0.0619
34685,0.0621
34735,0.062
34785,0.0619
34835,0.0619
34885,0.062
34935,0.0621
34985,0.062
35035,0.062
35085,0.0622
35135,0.0622
35185,0.0622
35235,0.0621
35274,0.0397
35324,0.0522
35374,0.0576
35424,0.057
35474,0.0597
35524,0.0585
35574,0.0578
35624,0.0587
35674,0.0591
35724,0.059
35774,0.0608
35824,0.0605
35874,0.0599
35924,0.0598
35974,0.0599
36024,0.0599
36074,0.0601
36124,0.0598
36174,0.0598
36224,0.0595
36274,0.0601
36324,0.0614
36374,0.0607
36424,0.0608
36474,0.0611
36524,0.0611
36574,0.0606
36624,0.0608
36674,0.0604
36724,0.0607
36774,0.0606
36824,0.0604
36874,0.0605
36924,0.0602
36974,0.06
37024,0.0603
37074,0.06
37124,0.061
37174,0.0606
37224,0.0604
37274,0.0604
37324,0.0603
37374,0.0605
37424,0.0604
37474,0.0605
37524,0.0603
37574,0.0601
37624,0.0601
37674,0.0599
37724,0.0599
37774,0.06
37824,0.0601
37874,0.0601
37924,0.0601
37974,0.0599
38024,0.0598
38074,0.0599
38124,0.0599
38174,0.0598
38224,0.0599
38274,0.0597
38324,0.0598
38374,0.0598
38424,0.06
38474,0.0599
38524,0.0599
38574,0.0598
38624,0.0599
38674,0.0599
38724,0.0597
38774,0.0601
38824,0.0601
38874,0.0599
38924,0.0599
38974,0.0598
39024,0.0597
39074,0.0599
39124,0.0599
39174,0.0598
39224,0.0598
39274,0.0598
39324,0.0598
39374,0.0598
39424,0.0598
39474,0.0598
39524,0.0597
39574,0.0598
39624,0.0599
39674,0.0599
39724,0.0601
39774,0.06
39824,0.0602
39874,0.0601
39924,0.06
39974,0.0603
40024,0.0603
40074,0.0601
40124,0.06
40174,0.0602
40224,0.0602
40274,0.0602
40313,0.0971
40363,0.0543
40413,0.0559
40463,0.0556
40513,0.055
40563,0.0566
40613,0.0581
40663,0.0566
40713,0.0568
40763,0.0567
40813,0.0569
40863,0.0568
40913,0.0573
40963,0.0578
41013,0.058
41063,0.0587
41113,0.0582
41163,0.0584
41213,0.0578
41263,0.0578
41313,0.0597
41363,0.0594
41413,0.0594
41463,0.0592
41513,0.0589
41563,0.0592
41613,0.059
41663,0.0585
41713,0.0585
41763,0.0583
41813,0.0587
41863,0.0585
41913,0.0581
41963,0.059
42013,0.0591
42063,0.0589
42113,0.059
42163,0.0587
42213,0.0586
42263,0.0588
42313,0.0589
42363,0.0587
42413,0.0587
42463,0.0586
42513,0.0585
42563,0.0585
42613,0.0582
42663,0.0581
42713,0.0583
42763,0.0583
42813,0.0581
42863,0.058
42913,0.058
42963,0.0579
43013,0.0582
43063,0.0581
43113,0.058
43163,0.0579
43213,0.0578
43263,0.0577
43313,0.0575
43363,0.0575
43413,0.0573
43463,0.0575
43513,0.0575
43563,0.0577
43613,0.0578
43663,0.058
43713,0.058
43763,0.0582
43813,0.058
43863,0.058
43913,0.0581
43963,0.058
44013,0.0581
44063,0.0581
44113,0.058
44163,0.058
44213,0.058
44263,0.0579
44313,0.0579
44363,0.058
44413,0.0582
44463,0.0583
44513,0.0584
44563,0.0584
44613,0.0584
44663,0.0584
44713,0.0583
44763,0.0581
44813,0.0581
44863,0.0584
44913,0.0583
44963,0.0582
45013,0.0581
45063,0.0582
45113,0.0581
45163,0.0581
45213,0.058
45263,0.0581
45313,0.0584
45352,0.0558
45402,0.0551
45452,0.0562
45502,0.0551
45552,0.0538
45602,0.0538
45652,0.0534
45702,0.0524
45752,0.0545
45802,0.0546
45852,0.056
45902,0.0562
45952,0.0565
46002,0.0567
46052,0.0565
46102,0.0578
46152,0.0582
46202,0.0583
46252,0.0581
46302,0.0577
46352,0.0578
46402,0.0577
46452,0.0574
46502,0.0572
46552,0.0573
46602,0.0569
46652,0.0564
46702,0.0568
46752,0.0574
46802,0.0579
46852,0.0579
46902,0.0583
46952,0.0584
47002,0.0583
47052,0.0579
47102,0.0575
47152,0.0573
47202,0.0573
47252,0.0573
47302,0.0572
47352,0.0572
47402,0.0572
47452,0.057
47502,0.0569
47552,0.0567
47602,0.0567
47652,0.0567
47702,0.0568
47752,0.0567
47802,0.0566
47852,0.0564
47902,0.0568
47952,0.057
48002,0.0569
48052,0.0569
48102,0.0567
48152,0.0567
48202,0.0567
48252,0.0567
48302,0.0566
48352,0.0566
48402,0.0565
48452,0.0564
48502,0.0566
48552,0.0564
48602,0.0565
48652,0.0565
48702,0.0567
48752,0.0566
48802,0.0566
48852,0.0566
48902,0.0566
48952,0.0567
49002,0.0566
49052,0.0566
49102,0.0566
49152,0.0568
49202,0.057
49252,0.057
49302,0.0571
49352,0.0572
49402,0.0571
49452,0.0572
49502,0.0571
49552,0.0571
49602,0.0571
49652,0.0571
49702,0.057
49752,0.057
49802,0.0569
49852,0.0569
49902,0.057
49952,0.057
50002,0.0569
50052,0.0569
50102,0.0569
50152,0.057
50202,0.057
50252,0.0571
50302,0.057
50352,0.0569
50391,0.0382
50441,0.0662
50491,0.0594
50541,0.0541
50591,0.0542
50641,0.0529
50691,0.053
50741,0.0527
50791,0.0546
50841,0.0548
50891,0.0571
50941,0.0565
50991,0.0558
51041,0.0556
51091,0.0564
51141,0.056
51191,0.0555
51241,0.0551
51291,0.0556
51341,0.0554
51391,0.0555
51441,0.0556
51491,0.0554
51541,0.0556
51591,0.0567
51641,0.0564
51691,0.0563
51741,0.0565
51791,0.0563
51841,0.056
51891,0.0558
51941,0.0555
51991,0.0557
52041,0.0557
52091,0.0557
52141,0.0556
52191,0.0554
52241,0.0551
52291,0.0554
52341,0.0552
52391,0.055
52441,0.0549
52491,0.0548
52541,0.0547
52591,0.0546
52641,0.0546
52691,0.0547
52741,0.0549
52791,0.055
52841,0.0551
52891,0.0554
52941,0.0553
52991,0.0553
53041,0.0553
53091,0.0553
53141,0.0553
53191,0.0552
53241,0.0552
53291,0.0551
53341,0.055
53391,0.0551
53441,0.055
53491,0.0552
53541,0.0553
53591,0.0552
53641,0.0552
53691,0.0553
53741,0.0554
53791,0.0554
53841,0.0553
53891,0.0554
53941,0.0557
53991,0.0558
54041,0.0557
54091,0.0557
54141,0.0557
54191,0.0558
54241,0.0559
54291,0.0558
54341,0.0557
54391,0.0557
54441,0.0558
54491,0.0558
54541,0.056
54591,0.0559
54641,0.0559
54691,0.0558
54741,0.0557
54791,0.0556
54841,0.0556
54891,0.0555
54941,0.0556
54991,0.0556
55041,0.0557
55091,0.0557
55141,0.0556
55191,0.0555
55241,0.0555
55291,0.0555
55341,0.0556
55391,0.0558
55430,0.0396
55480,0.0564
55530,0.0618
55580,0.057
55630,0.0573
55680,0.0577
55730,0.0566
55780,0.0553
55830,0.0549
55880,0.0542
55930,0.0577
55980,0.0568
56030,0.0563
56080,0.056
56130,0.0555
56180,0.0558
56230,0.0554
56280,0.0553
56330,0.0564
56380,0.0567
56430,0.0566
56480,0.056
56530,0.0557
56580,0.0553
56630,0.0552
56680,0.0552
56730,0.0559
56780,0.0564
56830,0.0563
56880,0.0565
56930,0.0565
56980,0.0561
57030,0.0561
57080,0.056
57130,0.0559
57180,0.0557
57230,0.0554
57280,0.0554
57330,0.0556
57380,0.0557
57430,0.0558
57480,0.0556
57530,0.0554
57580,0.0554
57630,0.0556
57680,0.0555
57730,0.0556
57780,0.0553
57830,0.0557
57880,0.0556
57930,0.0556
57980,0.0555
58030,0.0556
58080,0.0556
58130,0.0555
58180,0.0556
58230,0.0557
58280,0.0557
58330,0.0557
58380,0.0557
58430,0.0556
58480,0.0557
58530,0.0557
58580,0.0556
58630,0.0554
58680,0.0553
58730,0.0553
58780,0.0552
58830,0.0551
58880,0.0553
58930,0.0554
58980,0.0554
59030,0.0552
59080,0.0552
59130,0.0551
59180,0.055
59230,0.0549
59280,0.0548
59330,0.0547
59380,0.0548
59430,0.0548
59480,0.0548
59530,0.0547
59580,0.0546
59630,0.0546
59680,0.0545
59730,0.0545
59780,0.0543
59830,0.0542
59880,0.0542
59930,0.0543
59980,0.0543
60030,0.0543
60080,0.0542
60130,0.0542
60180,0.0542
60230,0.0542
60280,0.0543
60330,0.0544
60380,0.0544
60430,0.0543
60469,0.0367
60519,0.0503
60569,0.052
60619,0.0524
60669,0.0524
60719,0.0542
60769,0.0541
60819,0.0531
60869,0.0518
60919,0.0513
60969,0.0517
61019,0.0518
61069,0.0512
61119,0.0507
61169,0.051
61219,0.0514
61269,0.0514
61319,0.0518
61369,0.0521
61419,0.0538
61469,0.0534
61519,0.0531
61569,0.0533
61619,0.0533
61669,0.0532
61719,0.053
61769,0.0527
61819,0.0525
61869,0.0526
61919,0.0528
61969,0.0527
62019,0.0528
62069,0.0526
62119,0.0528
62169,0.0528
62219,0.0526
62269,0.0524
62319,0.0525
62369,0.0526
62419,0.0526
62469,0.0527
62519,0.0526
62569,0.0527
62619,0.0527
62669,0.0527
62719,0.0526
62769,0.0526
62819,0.0526
62869,0.0526
62919,0.0524
62969,0.0523
63019,0.0523
63069,0.0523
63119,0.0524
63169,0.0524
63219,0.0523
63269,0.0527
63319,0.0529
63369,0.053
63419,0.0529
63469,0.0531
63519,0.0531
63569,0.053
63619,0.053
63669,0.053
63719,0.0533
63769,0.0533
63819,0.0534
63869,0.0534
63919,0.0535
63969,0.0534
64019,0.0534
64069,0.0536
64119,0.0538
64169,0.054
64219,0.054
64269,0.0541
64319,0.0541
64369,0.0541
64419,0.0541
64469,0.0541
64519,0.0541
64569,0.0542
64619,0.0541
64669,0.054
64719,0.054
64769,0.054
64819,0.0539
64869,0.0539
64919,0.0539
64969,0.0541
65019,0.0542
65069,0.0542
65119,0.0542
65169,0.0542
65219,0.0542
65269,0.0541
65319,0.0541
65369,0.0539
65419,0.0538
65469,0.0538
65508,0.1259
65558,0.0496
65608,0.0472
65658,0.0511
65708,0.0559
65758,0.0569
65808,0.0564
65858,0.0553
65908,0.0553
65958,0.0544
66008,0.0537
66058,0.0553
66108,0.0557
66158,0.0552
66208,0.055
66258,0.0551
66308,0.0545
66358,0.0547
66408,0.0548
66458,0.0546
66508,0.0542
66558,0.0545
66608,0.0546
66658,0.0546
66708,0.0545
66758,0.055
66808,0.055
66858,0.0548
66908,0.0549
66958,0.0551
67008,0.0551
67058,0.0548
67108,0.0546
67158,0.0545
67208,0.0545
67258,0.0545
67308,0.0544
67358,0.0542
67408,0.0544
67458,0.0544
67508,0.0547
67558,0.0545
67608,0.0544
67658,0.0542
67708,0.0542
67758,0.0541
67808,0.0539
67858,0.0538
67908,0.0537
67958,0.0537
68008,0.0541
68058,0.0543
68108,0.0542
68158,0.0542
68208,0.054
68258,0.0538
68308,0.0536
68358,0.0536
68408,0.0535
68458,0.0535
68508,0.0536
68558,0.0534
68608,0.0536
68658,0.0536
68708,0.0534
68758,0.0533
68808,0.0534
68858,0.0534
68908,0.0533
68958,0.0532
69008,0.0531
69058,0.0531
69108,0.0531
69158,0.0531
69208,0.053
69258,0.053
69308,0.053
69358,0.0529
69408,0.053
69458,0.053
69508,0.0529
69558,0.0528
69608,0.0528
69658,0.0527
69708,0.0528
69758,0.0529
69808,0.0528
69858,0.0527
69908,0.0528
69958,0.0527
70008,0.0528
70058,0.0528
70108,0.0527
70158,0.0527
70208,0.0526
70258,0.0525
70308,0.0525
70358,0.0525
70408,0.0524
70458,0.0524
70508,0.0525
70547,0.0314
70597,0.0491
70647,0.0516
70697,0.0492
70747,0.0512
70797,0.0519
70847,0.0522
70897,0.0524
70947,0.0531
70997,0.0547
71047,0.0557
71097,0.056
71147,0.0568
71197,0.0561
71247,0.0555
71297,0.0549
71347,0.0547
71397,0.0549
71447,0.0547
71497,0.054
71547,0.0534
71597,0.0529
71647,0.0528
71697,0.0526
71747,0.0526
71797,0.0524
71847,0.0525
71897,0.0524
71947,0.0522
71997,0.0524
72047,0.0524
72097,0.0527
72147,0.0525
72197,0.0525
72247,0.0523
72297,0.0521
72347,0.052
72397,0.0519
72447,0.052
72497,0.0519
72547,0.0519
72597,0.0518
72647,0.0516
72697,0.0515
72747,0.0515
72797,0.0513
72847,0.0512
72897,0.0511
72947,0.0511
72997,0.051
73047,0.0509
73097,0.0508
73147,0.0506
73197,0.0506
73247,0.0509
73297,0.0508
73347,0.0508
73397,0.0509
73447,0.051
73497,0.0509
73547,0.0508
73597,0.0509
73647,0.051
73697,0.0509
73747,0.0508
73797,0.0508
73847,0.0508
73897,0.051
73947,0.0509
73997,0.0509
74047,0.0509
74097,0.0511
74147,0.0513
74197,0.0512
74247,0.0513
74297,0.0513
74347,0.0513
74397,0.0513
74447,0.0512
74497,0.0511
74547,0.0512
74597,0.0512
74647,0.0513
74697,0.0513
74747,0.0514
74797,0.0514
74847,0.0514
74897,0.0518
74947,0.0518
74997,0.0518
75047,0.0518
75097,0.0519
75147,0.0518
75197,0.0517
75247,0.0518
75297,0.0518
75347,0.0518
75397,0.0518
75447,0.0518
75497,0.0518
75547,0.0518
75586,0.0234
75636,0.0486
75686,0.0489
75736,0.0505
75786,0.052
75836,0.0511
75886,0.0517
75936,0.0542
75986,0.0533
76036,0.0525
76086,0.0524
76136,0.0535
76186,0.0538
76236,0.0528
76286,0.0529
76336,0.0526
76386,0.0526
76436,0.0524
76486,0.0519
76536,0.052
76586,0.0517
76636,0.0523
76686,0.0525
76736,0.0522
