Step,Value
1,0.5668
51,0.4747
101,0.4689
151,0.4895
201,0.4634
251,0.4586
301,0.4595
351,0.456
401,0.4562
451,0.449
501,0.446
551,0.4436
601,0.4431
651,0.4407
701,0.4443
751,0.4446
801,0.4415
851,0.441
901,0.4405
951,0.4396
1001,0.4429
1051,0.4423
1101,0.444
1151,0.4434
1201,0.4421
1251,0.4402
1301,0.4406
1351,0.441
1401,0.4402
1451,0.4394
1501,0.4393
1551,0.4413
1601,0.4424
1651,0.4415
1701,0.4403
1751,0.4396
1801,0.4403
1851,0.4394
1901,0.44
1951,0.4385
2001,0.4381
2051,0.4373
2101,0.436
2151,0.4345
2201,0.4326
2251,0.4314
2301,0.4303
2351,0.4297
2401,0.4282
2451,0.4268
2501,0.4257
2551,0.4246
2601,0.4271
2651,0.4249
2701,0.423
2751,0.4219
2801,0.4205
2851,0.4194
2901,0.418
2951,0.4165
3001,0.4143
3051,0.4126
3101,0.4111
3151,0.4097
3201,0.4093
3251,0.4079
3301,0.4061
3351,0.4048
3401,0.403
3451,0.4009
3501,0.3993
3551,0.3973
3601,0.3957
3651,0.394
3701,0.3927
3751,0.391
3801,0.3897
3851,0.3884
3901,0.387
3951,0.3857
4001,0.3843
4051,0.3832
4101,0.3818
4151,0.3806
4201,0.3788
4251,0.3775
4301,0.3757
4351,0.3742
4401,0.3727
4451,0.3712
4501,0.37
4551,0.3689
4601,0.3676
4651,0.3662
4701,0.3651
4751,0.364
4801,0.3624
4851,0.3609
4901,0.3594
4951,0.3582
5001,0.3566
5040,0.1991
5090,0.2193
5140,0.2261
5190,0.2381
5240,0.2497
5290,0.2509
5340,0.2453
5390,0.245
5440,0.2412
5490,0.2387
5540,0.2353
5590,0.2315
5640,0.2298
5690,0.226
5740,0.2235
5790,0.2215
5840,0.2183
5890,0.2171
5940,0.2162
5990,0.2168
6040,0.2151
6090,0.2135
6140,0.2128
6190,0.2128
6240,0.2139
6290,0.2144
6340,0.2137
6390,0.2136
6440,0.2132
6490,0.213
6540,0.213
6590,0.2121
6640,0.212
6690,0.2111
6740,0.2107
6790,0.2099
6840,0.2089
6890,0.2083
6940,0.2073
6990,0.2067
7040,0.2059
7090,0.2049
7140,0.2045
7190,0.2049
7240,0.2047
7290,0.204
7340,0.2031
7390,0.2026
7440,0.2026
7490,0.2023
7540,0.2018
7590,0.2012
7640,0.2008
7690,0.2011
7740,0.2008
7790,0.2004
7840,0.1999
7890,0.1999
7940,0.1994
7990,0.1994
8040,0.1989
8090,0.1984
8140,0.1979
8190,0.1974
8240,0.1975
8290,0.1975
8340,0.1974
8390,0.1974
8440,0.197
8490,0.1965
8540,0.1964
8590,0.1963
8640,0.1957
8690,0.1953
8740,0.1952
8790,0.1948
8840,0.1949
8890,0.1946
8940,0.1945
8990,0.1941
9040,0.1938
9090,0.1932
9140,0.1928
9190,0.1928
9240,0.1923
9290,0.1939
9340,0.1938
9390,0.1941
9440,0.1939
9490,0.1938
9540,0.1936
9590,0.1933
9640,0.193
9690,0.1931
9740,0.193
9790,0.1929
9840,0.1926
9890,0.1924
9940,0.1921
9990,0.1917
10040,0.1915
10079,0.1522
10129,0.181
10179,0.1832
10229,0.1824
10279,0.1807
10329,0.1764
10379,0.1747
10429,0.1798
10479,0.1787
10529,0.1751
10579,0.1739
10629,0.1781
10679,0.1756
10729,0.1754
10779,0.1749
10829,0.1744
10879,0.1747
10929,0.1733
10979,0.1741
11029,0.174
11079,0.1738
11129,0.1729
11179,0.1731
11229,0.1722
11279,0.1729
11329,0.173
11379,0.1721
11429,0.172
11479,0.172
11529,0.1715
11579,0.1711
11629,0.1708
11679,0.1704
11729,0.1699
11779,0.1708
11829,0.17
11879,0.1697
11929,0.1696
11979,0.1696
12029,0.1693
12079,0.1697
12129,0.1693
12179,0.1693
12229,0.1692
12279,0.1691
12329,0.1692
12379,0.1687
12429,0.1685
12479,0.1682
12529,0.1681
12579,0.1679
12629,0.1681
12679,0.1685
12729,0.1688
12779,0.1684
12829,0.1683
12879,0.1683
12929,0.1685
12979,0.1684
13029,0.1683
13079,0.1682
13129,0.1678
13179,0.1678
13229,0.168
13279,0.1681
13329,0.1679
13379,0.168
13429,0.1677
13479,0.1676
13529,0.1676
13579,0.1674
13629,0.1677
13679,0.1677
13729,0.1676
13779,0.1695
13829,0.1695
13879,0.1692
13929,0.169
13979,0.1694
14029,0.1693
14079,0.169
14129,0.1689
14179,0.1687
14229,0.1687
14279,0.1685
14329,0.1686
14379,0.1689
14429,0.1686
14479,0.1685
14529,0.1686
14579,0.1685
14629,0.1688
14679,0.1686
14729,0.1686
14779,0.1683
14829,0.1682
14879,0.1681
14929,0.1679
14979,0.1677
15029,0.1675
15079,0.1674
15118,0.1952
15168,0.1524
15218,0.1477
15268,0.1478
15318,0.147
15368,0.1489
15418,0.1467
15468,0.1527
